"Fonte","Atividade","Valor"
"Brasil","13.71.71000 Serviços de arquitetura e engenharia e atividades técnicas relacionadas; testes e análises técnicas","620102"
"Brasil","13.72 Pesquisa e desenvolvimento científico","49244"
"Brasil","13.72.72000 Pesquisa e desenvolvimento científico","49244"
"Brasil","13.73 Publicidade e pesquisas de mercado","373536"
"Brasil","13.73.73010 Publicidade","362281"
"Brasil","13.73.73020 Pesquisas de mercado e opinião pública","11255"
"Brasil","13.74 Outras atividades profissionais, científicas e técnicas","467394"
"Brasil","13.74.74000 Outras atividades profissionais, científicas e técnicas não especificadas anteriormente","467394"
"Brasil","13.75 Atividades veterinárias","128675"
"Brasil","13.75.75000 Atividades veterinárias","128675"
"Brasil","14 Atividades administrativas e serviços complementares","4588163"
"Brasil","14.77 Aluguéis não imobiliários e gestão de ativos intangíveis não financeiros","66758"
"Brasil","14.77.77010 Aluguel de objetos pessoais e domésticos","17359"
"Brasil","14.77.77020 Aluguel de meios de transportes, maquinas e equipamentos sem operador e gestão de ativos intangíveis não financeiros","49399"
"Brasil","14.78 Seleção, agenciamento e locação de mão-de-obra","52619"
"Brasil","14.78.78000 Seleção, agenciamento e locação de mão-de-obra","52619"
"Brasil","14.79 Agências de viagens, operadores turísticos e serviços de reservas","127011"
"Brasil","14.79.79000 Agências de viagens, operadores turísticos e serviços de reservas","127011"
"Brasil","14.80 Atividades de vigilância, segurança e investigação","835384"
"Brasil","14.80.80000 Atividades de vigilância, segurança, transporte de valores e investigação","835384"
"Brasil","14.81 Serviços para edificios e atividades paisagisticas","2473148"
"Brasil","14.81.81011 Serviços de limpeza e de apoio a edifícios, exceto condomínios prediais","2006442"
"Brasil","14.81.81012 Condomínios prediais","291580"
"Brasil","14.81.81020 Atividades paisagísticas","175126"
"Brasil","14.82 Serviços de escritório, de apoio administrativo e outros serviços prestados a empresas","1033243"
"Brasil","14.82.82001 Serviços de escritório e apoio administrativo","250983"
"Brasil","14.82.82002 Atividades de teleatendimento","309185"
"Brasil","14.82.82003 Atividades de organização de eventos, exceto culturais e esportivos","159431"
"Brasil","14.82.82009 Outras atividades de serviços prestados principalmente às empresas","313643"
"Brasil","15 Administração pública, defesa e seguridade social","4101378"
"Brasil","15.84 Administração pública, defesa e seguridade social","4101378"
"Brasil","15.84.84011 Administração publica e regulação da política econômica e social - federal","210643"
"Brasil","15.84.84012 Administração publica e regulação da política econômica e social - estadual","239160"
"Brasil","15.84.84013 Administração publica e regulação da política econômica e social - municipal","980172"
"Brasil","15.84.84014 Defesa","335841"
"Brasil","15.84.84015 Outros serviços coletivos prestados pela administração pública - federal","146083"
"Brasil","15.84.84016 Outros serviços coletivos prestados pela administração pública - estadual","768654"
"Brasil","15.84.84017 Outros serviços coletivos prestados pela administração pública - municipal","71445"
"Brasil","15.84.84020 Seguridade social obrigatória","25469"
"Brasil","15.84.84997 Legislativo, esfera não especificada","2993"
"Brasil","15.84.84998 Tribunal de contas, esfera não especificada","762"
"Brasil","15.84.84999 Administração pública - esfera não especificada","1320156"
"Brasil","16 Educação","5829925"
"Brasil","16.85 Educação","5829925"
"Brasil","16.85.85011 Creche","263589"
"Brasil","16.85.85012 Pré-escola e ensino fundamental","2081653"
"Brasil","16.85.85013 Ensino médio","140959"
"Brasil","16.85.85014 Educação superior","249745"
"Brasil","16.85.85021 Serviços auxiliares à educação","201930"
"Brasil","16.85.85029 Outras atividades de ensino","641499"
"Brasil","16.85.85999 Atividades de educação não especificadas","2250550"
"Brasil","17 Saúde humana e serviços sociais","5361361"
"Brasil","17.86 Atividades de atenção à saúde humana","4752742"
"Brasil","17.86.86001 Atividades de atendimento hospitalar","1072016"
"Brasil","17.86.86002 Atividades de atenção ambulatorial executadas por médicos e odontólogos","1040419"
"Brasil","17.86.86003 Atividades de serviços de complementação diagnóstica e terapêutica","242604"
"Brasil","17.86.86004 Atividades de profissionais da área de saúde, exceto médicos e odontólogos","961796"
"Brasil","17.86.86009 Atividades de atenção à saúde humana não especificadas anteriormente","94706"
"Brasil","17.86.86999 Atividades de saúde não especificadas","1341203"
"Brasil","17.87 Atividades de atenção à saúde humana integradas com assistência social, inclusive prestadas em residências coletivas e particulares","522637"
"Brasil","17.87.87000 Atividades de assistência à saúde humana integradas com assistência social, inclusive prestadas em residencias","522637"
"Brasil","17.88 Serviços de assistência social sem alojamento","85982"
"Brasil","17.88.88000 Serviços de assistência social sem alojamento","85982"
"Brasil","18 Artes, cultura, esporte e recreação","857318"
"Brasil","18.90 Atividades artísticas, criativas e de espetáculos","352100"
"Brasil","18.90.90000 Atividades artísticas, criativas e de espetáculos","352100"
"Brasil","18.91 Atividades ligadas ao patrimônio cultural e ambiental","40135"
"Brasil","18.91.91000 Atividades ligadas ao patrimônio cultural e ambiental","40135"
"Brasil","18.92 Atividades de exploração de jogos de azar e apostas","31857"
"Brasil","18.92.92000 Atividades de exploração de jogos de azar e apostas","31857"
"Brasil","18.93 Atividades esportivas e de recreação e lazer","433225"
"Brasil","18.93.93011 Atividades esportivas","117462"
"Brasil","18.93.93012 Atividades de condicionamento físico","263462"
"Brasil","18.93.93020 Atividades de recreação e lazer","52301"
"Brasil","19 Outras atividades de serviços","3325410"
"Brasil","19.94 Atividades de organizações associativas","282234"
"Brasil","19.94.94010 Atividades de organizações associativas patronais, empresariais e profissionais","19172"
"Brasil","19.94.94020 Atividades de organizações sindicais","33556"
"Brasil","19.94.94091 Atividades de organizações religiosas e filosóficas","153365"
"Brasil","19.94.94099 Outras atividades associativas não especificadas anteriormente","76141"
"Brasil","19.95 Reparação e manutenção de equipamentos de informatica e comunicação e de objetos pessoais e domésticos","458005"
"Brasil","19.95.95010 Reparação e manutenção de equipamentos de informática e comunicação","84401"
"Brasil","19.95.95030 Reparação e manutenção de objetos e equipamentos pessoais e domésticos","373605"
"Brasil","19.96 Outras atividades de serviços pessoais","2585171"
"Brasil","19.96.96010 Lavanderias, tinturarias e toalheiros","87643"
"Brasil","19.96.96020 Cabeleireiros e outras atividades de tratamento de beleza","1876797"
"Brasil","19.96.96030 Atividades funerárias e serviços relacionados","54665"
"Brasil","19.96.96090 Outras atividades de serviços pessoais","566067"
"Brasil","20 Serviços domésticos","3734805"
"Brasil","20.97 Serviços domésticos","3734805"
"Brasil","20.97.97000 Serviços domésticos","3734805"
"Brasil","21 Organismos internacionais e outras instituições extraterritoriais","2105"
"Brasil","21.99 Organismos internacionais e outras instituições extraterritoriais","2105"
"Brasil","21.99.99000 Organismos internacionais e outras instituições extraterritoriais","2105"
"Brasil","22 Atividades maldefinidas","5716958"
"Brasil","22.00 Atividades maldefinidas","5716958"
"Brasil","22.00.00000 Atividades maldefinidas","5516136"
"Brasil","22.00.00999 Serviços gerais, biscate - atividades não especificadas","200822"
